work_id,name,total,rank,fetch_time
7,此叶庭庭,4240,16,2024-11-19 14:44
30,神鼬献金,4024,17,2024-11-19 14:44
37,听梨声,3992,18,2024-11-19 14:44
9,渡君心,3688,19,2024-11-19 14:44
3,波光摇月,3225,20,2024-11-19 14:44
48,跃龙门,2872,21,2024-11-19 14:44
19,枯枝繁影,2594,22,2024-11-19 14:44
25,青云来,2579,23,2024-11-19 14:44
2,百雀裘,2427,24,2024-11-19 14:44
50,占春风,2375,25,2024-11-19 14:44
14,浣轻羽,2356,26,2024-11-19 14:44
12,伏虎藏龙,2310,27,2024-11-19 14:44
42,雪覆夜狸,2291,28,2024-11-19 14:44
20,快马长安,2210,29,2024-11-19 14:44
10,返魂香,2148,30,2024-11-19 14:44
18,江湖客,2119,31,2024-11-19 14:44
34,蜀中赋,2097,32,2024-11-19 14:44
22,流洲照影,2022,33,2024-11-19 14:44
33,世上千年,1808,34,2024-11-19 14:44
11,梵音妙相,1718,35,2024-11-19 14:44
28,穷奇,1543,36,2024-11-19 14:44
31,神羽坠星,1494,37,2024-11-19 14:44
27,清莲蛇影,1439,38,2024-11-19 14:44
8,粗麦包,1430,39,2024-11-19 14:44
40,望鹤燕归,1416,40,2024-11-19 14:44
16,火啖青园,1338,41,2024-11-19 14:44
43,燕归梁,1312,42,2024-11-19 14:44
5,不染尘,1302,43,2024-11-19 14:44
44,夜雨寄北,1142,44,2024-11-19 14:44
36,岁焰生花,1001,45,2024-11-19 14:44
38,听涛,948,46,2024-11-19 14:44
29,雀别枝,723,47,2024-11-19 14:44
32,石火梦身,696,48,2024-11-19 14:44
35,松见礼,672,49,2024-11-19 14:44
13,鹤灵,634,50,2024-11-19 14:44
6,沧蝶泪,27660,1,2024-11-19 15:04
17,见南山,16163,2,2024-11-19 15:04
49,云华九歌,13233,3,2024-11-19 15:04
41,小龙铃,12748,4,2024-11-19 15:04
47,余梦,11409,5,2024-11-19 15:04
45,一相三昧,9879,6,2024-11-19 15:04
1,霸王别姬,9174,7,2024-11-19 15:04
23,难渡我,8218,8,2024-11-19 15:04
24,青丘旧梦,7090,9,2024-11-19 15:04
26,清尘心,6828,10,2024-11-19 15:04
46,遗落宝匣,6023,11,2024-11-19 15:04
21,嶙骨,5757,12,2024-11-19 15:04
4,不渡山海,4986,13,2024-11-19 15:04
15,魂赴九幽,4554,14,2024-11-19 15:04
39,万物皆一,4452,15,2024-11-19 15:04
7,此叶庭庭,4289,16,2024-11-19 15:04
30,神鼬献金,4055,17,2024-11-19 15:04
37,听梨声,4024,18,2024-11-19 15:04
9,渡君心,3731,19,2024-11-19 15:04
3,波光摇月,3262,20,2024-11-19 15:04
48,跃龙门,2904,21,2024-11-19 15:04
19,枯枝繁影,2615,22,2024-11-19 15:04
25,青云来,2603,23,2024-11-19 15:04
2,百雀裘,2456,24,2024-11-19 15:04
50,占春风,2406,25,2024-11-19 15:04
14,浣轻羽,2389,26,2024-11-19 15:04
12,伏虎藏龙,2338,27,2024-11-19 15:04
42,雪覆夜狸,2324,28,2024-11-19 15:04
20,快马长安,2230,29,2024-11-19 15:04
10,返魂香,2166,30,2024-11-19 15:04
18,江湖客,2141,31,2024-11-19 15:04
34,蜀中赋,2128,32,2024-11-19 15:04
22,流洲照影,2033,33,2024-11-19 15:04
33,世上千年,1826,34,2024-11-19 15:04
11,梵音妙相,1736,35,2024-11-19 15:04
28,穷奇,1564,36,2024-11-19 15:04
31,神羽坠星,1512,37,2024-11-19 15:04
27,清莲蛇影,1454,38,2024-11-19 15:04
8,粗麦包,1449,39,2024-11-19 15:04
40,望鹤燕归,1432,40,2024-11-19 15:04
16,火啖青园,1348,41,2024-11-19 15:04
43,燕归梁,1330,42,2024-11-19 15:04
5,不染尘,1318,43,2024-11-19 15:04
44,夜雨寄北,1151,44,2024-11-19 15:04
36,岁焰生花,1012,45,2024-11-19 15:04
38,听涛,953,46,2024-11-19 15:04
29,雀别枝,731,47,2024-11-19 15:04
32,石火梦身,705,48,2024-11-19 15:04
35,松见礼,682,49,2024-11-19 15:04
13,鹤灵,645,50,2024-11-19 15:04
6,沧蝶泪,27847,1,2024-11-19 15:24
17,见南山,16312,2,2024-11-19 15:24
49,云华九歌,13347,3,2024-11-19 15:24
41,小龙铃,12913,4,2024-11-19 15:24
47,余梦,11538,5,2024-11-19 15:24
45,一相三昧,10022,6,2024-11-19 15:24
1,霸王别姬,9258,7,2024-11-19 15:24
23,难渡我,8277,8,2024-11-19 15:24
24,青丘旧梦,7153,9,2024-11-19 15:24
26,清尘心,6891,10,2024-11-19 15:24
46,遗落宝匣,6085,11,2024-11-19 15:24
